,title,rating,acidity_structure,aftertaste,aroma,body,flavor,blind_assessment,coffee_origin,est_price,notes,roast_level,roaster_location,City,State,Country
1361,Costa Rica La Pastora,93.0,8.0,8.0,9.0,9.0,9.0,"Complex, richly sweet, fruit-toned. Apricot, orange blossom, caramel, cocoa powder, almond in aroma and cup. Sweet-tart structure with pert acidity; very full, syrupy mouthfeel. Finish consolidates to caramel-toned apricot and almond.","Santa Maria de Dota, Costa Rica",$18.00/12 ounces,"Produced by Minor Esquival Picado at Finca La Pastora from trees of the Caturra, Catuai and Typica varieties of Arabica and processed by the washed method. Atomic Coffee Roasters is a retail and wholesale coffee roaster on the North Shore of Massachusetts with a cafe in Beverly and roastery in Salem. Visit www.atomicroastery.com or call 978-910-0489 for more information.",Medium-Light,"Salem, Massachusetts",Salem, Massachusetts,
1362,Ethiopia Dame Dabaye,95.0,9.0,9.0,9.0,9.0,9.0,"Energetic, floral, multi-layered, intriguing. Aromatic orchid, red plum, lemon verbena, nougat, sandalwood in aroma and cup. Sweet-toned structure with juicy-bright acidity; plush, syrupy-smooth mouthfeel. The flavor-saturated finish sustains all of the aroma and flavor notes of the cup in harmonious balance. ","Guji Zone, Oromia Region, Southern Ethiopia",$16.00/12 ounces,"Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in their respective regions. Processed by the wet or washed method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Indaba Coffee is a small family-owned business in the heart of Spokane, Washington whose mission is “radical hospitality.” Visit www.indabacoffee.com for more information.",Medium-Light,"Spokane, Washington",Spokane, Washington,
1363,Safari Blend,92.0,8.0,8.0,9.0,8.0,9.0,"Crisp, bright, floral-toned. Pluot, star jasmine, cocoa nib, black tea, lemon zest in aroma and cup. Sweet structure with pert acidity; satiny-smooth mouthfeel. The gently drying finish is redolent with pluot and cocoa nib.","Kisii, southwestern Kenya",$15.95/12 ounces,"This coffee tied for the fourth-highest rating in a cupping of coffees roasted by Black-owned coffee companies for Coffee Review’s August 2020 report. Produced by smallholding members of the Morumba Cooperative, of which Kahawa 1893 founder Margaret Nyamumbo’s family are members. Comprised of coffees from trees of the SL28, SL 34 and Blue Mountain varieties of Arabica. Kahawa 1893 was founded by Nyamumbo, a third-generation Kenyan coffee farmer, with the intention of empowering women farmers, who are not adequately compensated in the supply chain. The company offers customers a QR code for tipping the farmers. Visit www.kahawa1893.com for more information.",Medium-Light,"Berkeley, California",Berkeley, California,
1364,Kenya AA Kirinyaga Kii,95.0,9.0,9.0,9.0,9.0,9.0,"Deep-toned, richly sweet-savory. Red currant, hop flowers, cocoa nib, butterscotch, almond butter in aroma and cup. Richly bittersweet, balanced structure with juicy, bright acidity; plush, syrupy mouthfeel. Finish consolidates to cocoa-toned red currant and butterscotch.","Kirinyaga District, south-central Kenya",NT $600/8 ounces,"Produced by smallholding members of the Rungeto Cooperative Society from trees of the SL34 and SL28 varieties of Arabica. Processed by a particularly meticulous Kenya variation on the traditional wet or “washed” method (fruit skin and pulp are removed before drying). 94 Fresh Coffee is a specialty coffee roaster based in Kaohsiung City that specializes in espresso, including training and machine sales. Wholesale pricing available for all coffees. Visit https://www.facebook.com/94freshcoffee/ for more information.",Medium-Light,"Kaohsiung City, Taiwan",Kaohsiung City, Taiwan,
1365,Ethiopia Natural Guji Lot D Minor,95.0,9.0,9.0,9.0,9.0,9.0,"Delicate, high-toned, richly floral. Lilac, cocoa nib, dried apricot, sandalwood, a hint of coconut in aroma and cup. Sweet-tart structure with juicy acidity; plush, syrupy mouthfeel. Rich, deeply aromatic finish that carries over all the notes from the cup; lilac and cocoa nib, in particular.","Guji Zone, Oromia Region, Southern Ethiopia",NT $275/8 ounces,"Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with washed coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",Medium-Light,"Chia-Yi, Taiwan",Chia-Yi, Taiwan,
1366,40-Hour Ethiopia Girma Eshetu,93.0,8.0,8.0,9.0,9.0,9.0,"Richly sweet-savory, complex, nuanced. Butterscotch, hop flowers, sandalwood, dried apricot, candycap mushroom in aroma and cup. Bittersweet structure with gentle, round acidity; very full, syrupy-smooth mouthfeel. The resonant finish consolidates around notes of sandalwood and hop flowers with apricot undertones.","Bita Genet District, Keffa Zone, southwestern Ethiopia",$15.00/20 ounces (2 types),"Produced by Girma Eshetu on his single-farmer estate from trees of varieties of Arabica long grown in the region. This coffee represents an effort to assess the effect of adding yeast to the tank during the fermentation process. Purchase comes with a sample of the traditional washed-process coffee, so consumers can compare the two. Columbia Street Roastery is a family-owned business in Champaign, Illinois, founded in 1998 with the mission of offering its community quality specialty coffee at affordable prices. For more information, visit https://csrcoffee.com/.",Medium-Light,"Champaign, Illinois",Champaign, Illinois,
1367,Guatemala Guaya’B Coop,92.0,8.0,8.0,8.0,9.0,9.0,"Delicate, sweet, citrus-toned. Cocoa nib, tangerine zest, almond, freesia-like flowers, apricot in aroma and cup. Sweet in structure with pert acidity; full, syrupy mouthfeel. Quiet, easygoing finish with notes of cocoa nib and tangerine zest.","Huehuetenango, Guatemala",$12.00/8 ounces,"Certified organic. Available for delivery in the San Francisco Bay Area; no mail order. Produced by members of the Asociación Civil Guaya'b of the Typica, Bourbon, Caturra and Catuai varieties of Arabica and processed by the wet, or washed, method. Founded by roaster Keith Gehrke in 2015, States Coffee is a single-location, community-focused coffee shop in downtown Martinez, California, featuring coffee roasted in-house and artisan baked goods. Visit www.statescoffee.com for more information.",Medium-Light,"Martinez, California",Martinez, California,
1368,Colombia Huila Los Lagos Washed Geisha,92.0,8.0,8.0,9.0,8.0,9.0,"Richly floral-toned. Baking chocolate, jasmine, tea rose, golden raisin, sandalwood in aroma and cup. Sweet in structure with brisk acidity; velvety-smooth mouthfeel. The crisp finish centers around tea rose and sandalwood notes.","Huila, Colombia",NT $225/4 ounces,Produced at Los Lagos farm entirely of the rare Ethiopia-derived botanical variety Geisha (also spelled Gesha). Processed by the washed method (fruit skin and pulp are removed before the beans are dried). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.,Medium-Light,"Chia-Yi, Taiwan",Chia-Yi, Taiwan,
1369,Colombia Finca Las Margaritas Natural Sudan Rume,94.0,9.0,8.0,8.0,9.0,9.0,"Sweetly fermenty, wine-toned. Lychee, dried raspberry, grappa, dark chocolate fudge, lily in aroma and cup. Sweetly tart structure with crisp, citrusy acidity; delicate, silky-smooth mouthfeel. Finish consolidates to notes of dried raspberry, grappa and dark chocolate.","Valle del Cauca growing region, Colombia",$30.00/6 ounces,"This coffee tied for the third-highest rating in a cupping of “desert-island coffees” submitted by roasters for Coffee Review’s May 2020 tasting report. Comprised entirely of beans from the rare Sudan Rume, a presumably very old variety of Arabica originally selected from wild trees growing on the Boma Plateau of Sudan, close to the border with Ethiopia. Produced by Rigoberto Herrera at Granja La Esperanza in Colombia and processed by the dried-in-the-fruit, or natural, method. modcup coffee, founded in 2013, focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.

 ",Medium-Light,"Jersey City, New Jersey",Jersey City, New Jersey,
1370,DR Congo Muungano Co-op South Kivu,93.0,9.0,8.0,9.0,8.0,9.0,"Sweetly-spiced toned, deeply rich. Caramel, bergamot flower, fig newton, candied apple, cedar in aroma and cup. Richly bittersweet structure with vibrant acidity; crisp yet velvety mouthfeel. The finish consolidates to notes of bergamot and caramel.","South Kivu, Democratic Republic of the Congo",$20.00/12 ounces,"Produced by smallholding farmers entirely of the Bourbon variety of Arabica and processed by the wet, or washed, method. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",Medium-Light,"Sacramento, California",Sacramento, California,
1371,Colombia Finca La Loma Microlot,94.0,9.0,8.0,9.0,9.0,9.0,"High-toned, sweetly tart. Bing cherry, cocoa nib, honeysuckle, cedar, a hint of thyme in aroma and cup. Sweet-tart structure with bright, juicy acidity. Full, syrupy mouthfeel. The engaging finish leads with notes of cherry and honeysuckle, and cocoa nib resurfaces in the long.","Huila, Colombia",$16.50/12 ounces,"Produced at Finca La Loma of the Pink Bourbon, Colombia and Castillo varieties of Arabica and processed by the wet, or washed, method. BeanFruit Coffee Co. is an award-winning coffee roasting company located in the Jackson, Mississippi metro area that provides fresh-roasted coffee with a focus on single origins. Visit www.beanfruit.com or call 601-624-2605 for more information.",Medium-Light,"Jackson, Mississippi",Jackson, Mississippi,
1373,La Coipa Peru,90.0,8.0,8.0,8.0,8.0,8.0,"Rich, roundly bittersweet. Nutmeg, peach, caramel, spicy chocolate, carnation-like flowers in aroma and cup. Balanced and crisp in structure; buoyant and lightly satiny in mouthfeel. Sweet and flavor-saturated in the short finish, tapering to richly drying in the long.","Cajamarca growing region, Peru",$16.20/12 ounces,Produced by Eulogia Carrillo Julca on her 7.5-acre farm located near the community of San Ignacio in the admired Cajamarca region of Peru. Meticulously processed by the wet or washed method (fruit skin and pulp are removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,Medium-Light,"Madison, Wisconsin",Madison, Wisconsin,
1375,Colombia Pink Bourbon,92.0,8.0,8.0,9.0,8.0,9.0,"Crisply sweet, delicately tart. Pomegranate, grapefruit zest, magnolia, elm, maple syrup in aroma and cup. Sweet-tart structure with brisk acidity; satiny-smooth mouthfeel. Rich-toned finish with notes of pomegranate and magnolia in the short and maple syrup in the long.","Huila, Colombia","NT $1,000/100 grams","Produced entirely of the Pink Bourbon variety of Arabica and processed by the wet, or washed, method. Black Coffee in Black Jar, a Taiwan-based nano-roaster and café, is named for both the Taiwanese slang phrase “black soy sauce in black jar,” indicating something is difficult to see through, and the literal black jar in which this company stores coffee to protect it from UV light. For more information, visit https://m.facebook.com/BlackCoffeeInBlackJar/.",Medium-Light,"Taichung, Taiwan",Taichung, Taiwan,
1376,Winter Solstice Blend,92.0,8.0,8.0,8.0,9.0,9.0,"Crisply sweet, rich-toned. Pear, baking chocolate, magnolia, fresh-cut fir, almond butter in aroma and cup. Deeply sweet structure with gentle acidity; plush, syrupy, yet lively mouthfeel. Cocoa-toned finish with pretty notes of magnolia and fresh-cut fir.",Peru,$15.00/12 ounces,"This coffee tied for the third-highest rating in a tasting of holiday blends for Coffee Review‘s December 2019 tasting report. Comprised of wet-processed, dry-fermented coffees of the Bourbon, Typica and Caturra varieties of Arabica from three different growing areas in Peru: Flor de Selva, Estrella Divina and El Laurel. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for their commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar powered roastery. Visit wonderstatecoffee.com or call (608) 637-2022 for more information.",Medium-Light,"Driftless, Wisconsin",Driftless, Wisconsin,
1377,Holiday Sweet Blend,93.0,8.0,8.0,9.0,9.0,9.0,"Richly fruit- and cocoa-toned. Blueberry, tamarind, chocolate fudge, oak, freesia-like flowers in aroma and cup. Richly sweet-tart structure with brisk acidity; very syrupy mouthfeel. Crisp, chocolaty finish with undertones of blueberry and oak.",Ethiopia; Colombia,$18.99/12 ounces,"This coffee tied for the second-highest rating in a tasting of holiday blends for Coffee Review‘s December 2019 tasting report. Comprised of a natural-process Ethiopia Koke and Ethiopia Sidamo and a washed-process Ethiopia Limu and Colombia Nariño Marco Lasso. Certified organic. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.",Medium,"Floyd, Virginia",Floyd, Virginia,
1378,Holiday Blend,93.0,9.0,8.0,9.0,8.0,9.0,"Delicate, high-toned, crisply sweet. Red currant, blackberry, cedar, cocoa nib, maple syrup in aroma and cup. Deeply sweet structure with lively, vibrant acidity; crisp yet velvety mouthfeel. The finish leads with notes of red currant and blackberry in the short, with cocoa nib and cedar resurfacing in the long.",Ethiopia; Kenya,NT $200/227 grams,"This coffee tied for the second-highest rating in a tasting of holiday blends for Coffee Review‘s December 2019 tasting report. A blend comprised of three coffees: a natural-process Ethiopia, a washed-process Ethiopia, and a washed-process Kenya. Lucky Café is a Taiwan-based specialty roaster and cafe. Visit https://shopee.tw/product/7703556/3404537564/ for more information.",Medium-Light,"Taoyuan City, Taiwan",Taoyuan City, Taiwan,
1379,2019 Celebration,94.0,9.0,8.0,9.0,9.0,9.0,"Richly sweet-savory, deeply chocolaty. Dark chocolate, fine musk, black cherry, gently scorched cedar, wisteria in aroma and cup. Sweet-savory structure with gentle, rounded acidity; full, creamy mouthfeel. The chocolaty finish is given further depth by suggestions of black cherry and musk, all ensconced in a gently smoky cedar.",Kenya; Guatemala,$18.75/12 ounces,"A blend of coffees from Kenya and Guatemala. This coffee tied for the highest rating in a tasting of holiday blends for Coffee Review‘s December 2019 tasting report. Highwire Coffee Roasters is a small-batch coffee roaster located in Emeryville, California. Established in 2011, Highwire pursues the straightforward goal of sharing the coffees it loves with the community. Visit www.highwirecoffee.com or call 510-420-0473 for more information.",Medium,"Emeryville, California",Emeryville, California,
1380,Holiday Blend,94.0,9.0,8.0,9.0,9.0,9.0,"Fruit-toned, richly sweet. Strawberry, sandalwood, narcissus-like flowers, nougat, lemon verbena in aroma and cup. Sweet-tart structure with vibrant, juicy acidity; plush, creamy mouthfeel. Resonant finish that consolidates around strawberry and nougat with hints of sandalwood. ",Southern Ethiopia,$8.00/100 grams,"A blend of two Ethiopia coffees, a washed-process Kochere Saona and a natural-process Yirgacheffe. This coffee tied for the highest rating in a tasting of holiday blends for Coffee Review‘s December 2019 tasting report. Plat Coffee is a specialty roaster and café in Hong Kong. For more information, visit www.platcoffee.com.",Medium-Light,"Hong Kong, China",Hong Kong, China,
1381,Peaberry Blend,88.0,7.0,7.0,8.0,8.0,8.0,"Roast-prominent, chocolaty, wood-framed. Dark chocolate, lily-like flowers, raisin, scorched fir, brown sugar in aroma and cup. Sweet-savory structure with mild acidity; full, satiny mouthfeel. The gently drying, chocolaty finish is supported by smoky fir and raisin notes.",Kona; Panama; Mexico,$17.99/12 ounces,"A blend of washed-process coffees of the peaberry grade from Kona, Panama and Mexico. San Francisco Bay Coffee is one of five coffee brands produced by the family-owned Rogers Family Company. Visit www.sfbaycoffee.com or call 800-829-1300 for more information.",Medium,"Lincoln, California",Lincoln, California,
1382,La Finca Medina of Guatemala,90.0,8.0,7.0,9.0,8.0,8.0,"Crisp, sweetly nut-toned. Hazelnut butter, magnolia, molasses, date, gently scorched cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; velvety mouthfeel. The rich though drying finish centers around nut and cedar notes.",Guatemala,$17.99/12 ounces,San Francisco Bay Coffee is one of five coffee brands produced by the family-owned Rogers Family Company. Visit www.sfbaycoffee.com or call 800-829-1300 for more information.,Medium,"Lincoln, California",Lincoln, California,
1383,Butare Huye of Rwanda,91.0,8.0,7.0,9.0,8.0,9.0,"Richly sweet, balanced. Orange zest, baking chocolate, black tea, pear, oak in aroma and cup. Sweet-tart in structure with brisk acidity; satiny-smooth mouthfeel. The resonant though tannic finish is carried by notes of baking chocolate and fresh-cut cedar.",Rwanda,$17.99/12 ounces,San Francisco Bay Coffee is one of five coffee brands produced by the family-owned Rogers Family Company. Visit www.sfbaycoffee.com or call 800-829-1300 for more information.,Medium,"Lincoln, California",Lincoln, California,
1384,La Lindura Colombia,92.0,8.0,8.0,9.0,8.0,9.0,"Cocoa-toned, richly sweet. Cocoa nib, apricot, orange zest, cedar, magnolia in aroma and cup. Sweet in structure with crisp, balanced acidity; smooth, silky mouthfeel. Cocoa notes are the throughline in the finish, with hints of apricot and orange zest in the long.","Dolores, Tolima Department, Colombia",$16.20/12 ounces,"Certified organic. Produced at Finca La Lindura from the Bourbon, Caturra and Tabi varieties of Arabica and processed by the wet, or washed, method. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Medium-Light,"Madison, Wisconsin",Madison, Wisconsin,
1385,Refisa Ethiopia,93.0,9.0,8.0,9.0,8.0,9.0,"High-toned, crisply sweet-tart. Plum, bergamot, cedar, freesia-like flowers, maple syrup in aroma and cup. Vibrant, sweetly tart structure with juicy acidity; crisp, satiny mouthfeel. The long-lasting finish consolidates to notes of plum and bergamot with undertones of cedar and maple syrup.","Nensebo Woreda, Sidama, Ethiopia",$16.80/12 ounces,Certified organic. Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. Processed by the wet or washed method (fruit skin and pulp are removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,Medium-Light,"Madison, Wisconsin",Madison, Wisconsin,
1386,Costa Rica Las Lajas Red Honey,93.0,8.0,8.0,9.0,9.0,9.0,"Deeply sweet, subtly tart, nuanced. Ripe blueberry, freesia-like flowers, almond, fresh-cut cedar, nougat in aroma and cup. Sweetly fruit-toned structure with round acidity; full, syrupy mouthfeel. Finish consolidates to notes of blueberry and nougat with undertones of cedar. ","Sabanilla de Alajuela, Costa Rica",$15.95/12 ounces,"Produced by Oscar and Francisca Chacon from trees of the Caturra and Catuai varieties of Arabica; certified organically grown. Processed by the red honey method, meaning that some fruit flesh (“honey”) was allowed to adhere to the beans during drying. Located in southwestern Colorado, Durango Coffee lays claim to a rich coffee history that dates to 1986. Its motto is “Tough Town, Great Coffee.” Visit www.durangocoffee.com or call 800-748-2275 for more information.",Medium,"Durango, Colorado",Durango, Colorado,
1387,Puna Champagne Natural Anaerobic,93.0,8.0,8.0,9.0,9.0,9.0,"High-toned, richly fruit-forward, balanced. Strawberry guava, jasmine, cocoa nib, sandalwood, pink grapefruit zest in aroma and cup. Sweet-tart structure with crisp, bright acidity; vibrantly plush, syrupy mouthfeel. The resonant finish centers around guava and jasmine notes with undertones of cocoa nib.","Puna, Big Island of Hawai’i",$19.95/4 ounces,"This coffee from the Puna District of Hawaii, comprised of the Typica and Caturra varieties of Arabica, was processed using an unusual sequence of procedures. It was first fermented in the whole fruit with wine yeasts added to the tank, then dried in the whole fruit, making it, in effect, a fermented natural. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information. ",Medium-Light,"Minneapolis, Minnesota",Minneapolis, Minnesota,
1389,Alamendah Patuha Coffee,94.0,9.0,8.0,9.0,9.0,9.0,"Richly sweet-savory. Concord grape, freesia, cedar, molasses, orange zest in aroma and cup. Sweetly savory structure with round, gentle acidity; full, syrupy mouthfeel. Crisply sweet finish centered around notes of Concord grape, molasses and cedar.","West Java, Indonesia","IDR $120,000/200 grams","Produced by Andi Kusnandar in the Patuha highlands of Java entirely of the Typica variety of Arabica and processed by the honey method (coffee fruit is pulped or skinned but dried in the fruit flesh). Mother Pigeons is a Jarkata, Indonesia-based roaster and cafe. For more information, visit www.motherpigeons.com.",Medium,"Jakarta, Indonesia",Jakarta, Indonesia,
1390,Ceri Ceri Meriah Coffee,94.0,9.0,8.0,9.0,9.0,9.0,"Complex, multi-layered, crisply sweet-tart. Apricot, almond, honeysuckle, oak, maple syrup in aroma and cup. Sweetly tart structure with juicy, bright acidity; viscous, syrupy mouthfeel. Resonant, flavor-saturated finish that consolidates to apricot and oak in the long.","West Java, Indonesia","IDR $120,000/200 grams","Produced by Satreya Amambi of the Wanoja Coop in the Kamojang highlands of Java and processed by the wet, or washed, method. Mother Pigeons is a Jarkata, Indonesia-based roaster and cafe. For more information, visit www.motherpigeons.com.",Medium-Light,"Jakarta, Indonesia",Jakarta, Indonesia,
1393,El Salvador Pacamara Honey,90.0,8.0,7.0,8.0,8.0,9.0,"Sweetly wood-framed, spice-toned. Fresh-cut fir, date, baking chocolate, freesia, black peppercorn in aroma and cup. Sweet structure with low-toned acidity; velvety mouthfeel. Wood-framed finish supported by notes of date and baking chocolate.","Apaneca, El Salvador","NT $1,000/100 grams","Produced at Finca Santa Leticia entirely of the Pacamara variety of Arabica and processed by the honey method. With all honey processing methods, some fruit flesh (“honey”) is allowed to adhere to the beans during drying. Black Coffee in Black Jar, a Taiwan-based nano-roaster and café, is named for both the Taiwanese slang phrase “black soy sauce in black jar,” indicating something is difficult to see through, and the literal black jar in which this company stores coffee to protect it from UV light. For more information, visit https://m.facebook.com/BlackCoffeeInBlackJar/.",Medium,"Taichung, Taiwan",Taichung, Taiwan,
1394,Kenya Kiambu “Summer Love”,91.0,8.0,8.0,8.0,8.0,9.0,"Rich-toned, deeply sweet. Date, magnolia, hazelnut, cedar, agave syrup in aroma and cup. Sweet in structure with round, gentle acidity; satiny-smooth mouthfeel. Finish consolidates to notes of date, hazelnut and cedar.","Kiambu growing region, south-central Kenya",NT $600/225 grams,"Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Rotate Fun Club was founded in Taichung, Taiwan in 2018 with the mission of roasting specialty coffee and offering home-roasting lessons. For more information, visit https://www.facebook.com/groups/314587622613012.",Medium,"Taiching, Taiwan",Taiching, Taiwan,
1395,Guatemala Acatenango Geisha,92.0,8.0,8.0,9.0,8.0,9.0,"Delicately sweet, floral toned. Narcissus, plum, cedar, cocoa nib, almond in aroma and cup. Deeply sweet in structure with gentle, rounded acidity; full, satiny mouthfeel. Crisp, richly drying finish with notes of narcissus and cocoa nib.","Acatenango, Guatemala","NT $1,000/100 grams","Produced from trees of the celebrated Geisha (also spelled Gesha) variety of Arabica and processed by the wet, or washed, method. Black Coffee in Black Jar, a Taiwan-based nano-roaster and café, is named for both the Taiwanese slang phrase “black soy sauce in black jar,” indicating something is difficult to see through, and the literal black jar in which this company stores coffee to protect it from UV light. For more information, visit https://m.facebook.com/BlackCoffeeInBlackJar/.",Medium-Light,"Taichung, Taiwan",Taichung, Taiwan,
1396,Kenya FSC AB,94.0,9.0,8.0,9.0,9.0,9.0,"Richly sweet, deeply chocolaty. Chocolate fudge, red currant, wisteria, cedar, agave syrup in aroma and cup. Crisp, sweetly tart structure with vibrant, juicy acidity; plush, viscous mouthfeel. Quiet finish centered around notes of chocolate, wisteria and cedar.","Kirinyaga District, south-central Kenya","NT $1,000/100 grams","Produced from trees of the SL28, SL34, Ruiru 11 and Batian varieties of Arabica. Processed by a particularly meticulous Kenya variation on the traditional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Black Coffee in Black Jar, a Taiwan-based nano-roaster and café, is named for both the Taiwanese slang phrase “black soy sauce in black jar,” indicating something is difficult to see through, and the literal black jar in which this company stores coffee to protect it from UV light. For more information, visit https://m.facebook.com/BlackCoffeeInBlackJar/.",Medium,"Taichung, Taiwan",Taichung, Taiwan,
1398,Ethiopia Suke Quto Honey,95.0,9.0,9.0,9.0,9.0,9.0,"Delicate, complex, multi-layered. Bergamot, dark chocolate, nougat, narcissus, cedar in aroma and cup. Richly sweet-savory structure with citrusy acidity; full, syrupy mouthfeel. The floral- and fruit-driven finish is supported by chocolate and aromatic wood notes.","Guji Zone, Oromia Region, south-central Ethiopia",$19.75/12 ounces,"Produced entirely from trees of the native Ethiopian varieties Kurume and Welicho at Suke Quto farm. Processed by the honey method, which means that the outer skin of the coffee fruit is removed, as it is in the wet or “washed” process, but at least some of the sticky fruit residue is allowed to dry on the bean and later removed by machine along with the parchment skin. This coffee is both organic- and Rainforest Alliance-certified. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.

 ",Medium-Light,"Minneapolis, Minnesota",Minneapolis, Minnesota,
1399,Panama Esmeralda Geisha Natural,96.0,9.0,9.0,9.0,9.0,10.0,"Vibrantly sweet, resonantly floral, cocoa-toned. Lavender, cocoa nib, kumquat, fine musk, toffee in aroma and cup. Sweetly tart structure with bright, juicy acidity; crisp yet syrupy mouthfeel. Flavor-saturated finish that sustains each note from the cup in long, ringing clarity. ","Boquete growing region, western Panama",$19.95/4 ounces,"Coffee from trees of the botanical variety Geisha (also Gesha) grown on Price Peterson’s Hacienda La Esmeralda in Panama first introduced this extraordinary variety of Arabica to the world. With its bold, boat-shaped beans and distinctive floral and crisply cacao-toned cup, the Gesha continues one of the world’s most unique coffees, and the Esmeralda versions remain among the most authentic. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Medium-Light,"Minneapolis, Minnesota",Minneapolis, Minnesota,
1401,Ethiopia Sidamo Bensa Asefa Dukamo Washed,93.0,9.0,8.0,9.0,8.0,9.0,"Delicate, crisply sweet. Pear, lilac, cocoa nib, maple syrup, oak in aroma and cup. Deeply sweet structure with vibrant acidity; satiny-smooth mouthfeel. The quiet, cocoa-toned finish is animated by suggestions of pear and maple syrup.","Sidamo (also Sidama) growing region, south-central Ethiopia",NT $500/200 grams,"Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. Processed by the wet or washed method (fruit skin and pulp removed before drying). GK Coffee provides quality specialty coffee to consumers and retailers. For more information, visit www.gkcoffee.com.tw or email [email protected]",Medium-Light,"Yilan, Taiwan",Yilan, Taiwan,
1403,Ethiopia Mulegeta Sintayehu Washed,94.0,9.0,8.0,9.0,9.0,9.0,"High-toned, richly sweet-tart. Dried apricot, tangerine zest, almond, narcissus-like flowers, cedar in aroma and cup. Sweetly tart in structure with balanced, juicy acidity; crisp yet syrupy mouthfeel. The finish is richly bittersweet and long, centered on notes of tangerine zest and cedar.
","Yirgacheffe growing region, southern Ethiopia",NT $500/100 grams,"Southern Ethiopia coffees like this one are largely produced from indigenous Ethiopian varieties of Arabica long grown in the region. Processed by the wet or washed method (fruit skin and pulp removed before drying). GK Coffee provides quality specialty coffee to consumers and retailers. For more information, visit www.gkcoffee.com.tw or email [email protected]",Medium-Light,"Yilan, Taiwan",Yilan, Taiwan,
1404,Berg Wu Championship Selection Yirgacheffe G1 Natural Lot 19/01,95.0,9.0,9.0,9.0,9.0,9.0,"Musk-toned, fruit-forward. Passion fruit, fine musk, dark chocolate, watermelon candy, pink grapefruit zest in aroma and cup. High-toned, sweetly tart structure with juicy, vibrant acidity; creamy, plush mouthfeel. The flavor-saturated finish centers around notes of passion fruit and fine musk.","Yirgacheffe growing region, southern Ethiopia",NT $550/200 grams,"Southern Ethiopia coffees like this one are largely produced from indigenous Ethiopian varieties of Arabica long grown in the region. Processed by the dry or natural method (dried in the entire fruit). GK Coffee provides quality specialty coffee to consumers and retailers. For more information, visit www.gkcoffee.com.tw or email [email protected]",Medium-Light,"Yilan, Taiwan",Yilan, Taiwan,
